,stnnum,lat,long,elev,name
1,1019,-14.3,126.65,23,KALUMBURU
2,2012,-18.23,127.66,422,HALLS CREEK
3,3003,-17.95,122.24,7.4,BROOME AIRPORT
4,4032,-20.37,118.63,6.4,PORT HEDLAND AIRPORT
5,4106,-21.18,119.75,182.3,MARBLE BAR
6,5007,-22.24,114.1,5,LEARMONTH AIRPORT
7,5026,-22.24,118.34,463,WITTENOOM
8,6011,-24.89,113.67,4,CARNARVON AIRPORT
9,7045,-26.61,118.54,517,MEEKATHARRA AIRPORT
10,8296,-29.2,116.02,271.4,MORAWA AIRPORT
11,8297,-30.28,116.67,324.5,DALWALLINU
12,8315,-28.8,114.7,29.7,GERALDTON AIRPORT
13,9021,-31.93,115.98,15.4,PERTH AIRPORT
14,9518,-34.37,115.14,13,CAPE LEEUWIN
15,9617,-33.95,116.13,178.7,BRIDGETOWN
16,9789,-33.83,121.89,25,ESPERANCE
17,9999,-34.94,117.82,68.4,ALBANY
18,10092,-31.48,118.28,315,MERREDIN
19,10286,-31.62,117.22,216.7,CUNDERDIN
20,10916,-33.69,117.61,320,KATANNING
21,10917,-32.67,116.67,275,WANDERING
22,11003,-31.68,128.9,93.1,EUCLA
23,11052,-30.85,128.11,159,FORREST
24,12038,-30.78,121.45,365.3,KALGOORLIE-BOULDER
25,13017,-25.03,128.3,598,GILES
26,14015,-12.42,130.89,30.4,DARWIN
27,14825,-16.4,131.01,88.5,VICTORIA RIVER DOWNS
28,15135,-19.64,134.18,375.7,TENNANTCREEKAIRPORT
29,15590,-23.8,133.89,546,ALICE SPRINGS
30,15666,-20.18,130.01,340,RABBIT FLAT
31,16001,-31.16,136.81,166.6,WOOMERA
32,16098,-30.71,134.58,123,TARCOOLA
33,17043,-27.56,135.45,116.5,OODNADATTA
34,17126,-29.66,138.07,50,MARREE
35,18012,-32.13,133.7,15.3,CEDUNAAMO
36,18044,-33.13,135.55,59,KYANCUTTA
37,18192,-34.6,135.88,8.5,PORT LINCOLN
38,21133,-33.77,138.22,109.1,RAYVILLEPARK
39,22823,-35.75,136.6,158,CAPEBORDA
40,23090,-34.92,138.62,48,KENTTOWN
41,23373,-34.48,139.01,275,NURIOOTPAPIRSA
42,26021,-37.75,140.77,63,MOUNT GAMBIER
43,26026,-37.16,139.76,3.3,ROBE
44,27045,-12.68,141.92,18,WEIPAAERO
45,27058,-10.58,142.29,4,HORNISLAND
46,28004,-16,144.08,203.8,PALMERVILLE
47,29063,-17.69,141.07,18.4,NORMANTON
48,29077,-17.75,139.54,5.7,BURKETOWN
49,30045,-20.73,143.14,211.1,RICHMOND POST OFFICE
50,30124,-18.3,143.53,301.8,GEORGETOWN
51,31011,-16.87,145.75,2.2,CAIRNSAERO
52,32040,-19.25,146.77,4.3,TOWNSVILLE
53,33119,-21.12,149.22,30.3,MACKAY
54,34084,-20.05,146.27,289.8,CHARTERS TOWERS 
55,36007,-23.55,145.29,266.9,BARCALDINE
56,36031,-23.44,144.28,192.2,LONGREACH
57,37010,-19.92,138.12,231.2,CAMOOWEAL
58,38003,-22.91,139.9,161.8,BOULIA
59,38026,-25.9,139.35,46.6,BIRDSVILLE
60,39066,-25.62,151.62,110.9,GAYNDAH
61,39083,-23.38,150.48,10.4,ROCKHAMPTON
62,39128,-24.91,152.32,30.8,BUNDABERGAERO
63,40004,-27.63,152.71,24.2,AMBERLEYAMO
64,40043,-27.03,153.47,99.9,CAPE MORETON LIGHTHOUSE
65,40842,-27.39,153.13,4.5,BRISBANEAERO
66,42112,-26.66,150.18,304.8,MILES CONSTANCE STREET
67,43109,-28.05,148.59,198.5,ST GEORGE AIRPORT
68,44021,-26.41,146.26,301.6,CHARLEVILLE
69,45025,-27.99,143.82,130.9,THARGOMINDAH
70,46012,-31.52,143.39,94.3,WILCANNIA
71,46126,-29.44,142.06,176.4,TIBOOBURRA
72,48027,-31.48,145.83,260,COBARMO
73,48245,-30.04,145.95,107.3,BOURKE
74,50017,-33.94,147.2,257,WESTWYALONG
75,52088,-30.04,148.12,133,WALGETT
76,53115,-29.49,149.85,213,MOREEAERO
77,55024,-31.03,150.27,307,GUNNEDAH
78,56242,-29.78,151.11,582,INVERELL
79,58012,-29.43,153.36,27.4,YAMBA PILOT STATION
80,59151,-30.32,153.12,3.5,COFFS HARBOUR
81,60139,-31.43,152.87,4.2,PORT MACQUARIE
82,61078,-32.79,151.84,7.5,WILLIAMTOWN
83,61363,-32.03,150.83,221.4,SCONE
84,63005,-33.43,149.56,713,BATHURS TAGRICULTURAL STATION
85,65070,-32.22,148.58,284,DUBBO
86,66062,-33.86,151.21,39,SYDNEY (OBSERVATORYHILL)
87,67105,-33.6,150.78,19,RICHMOND
88,68072,-34.95,150.54,109,NOWRARAN
89,68151,-35.09,150.8,85,POINT PERPENDICULAR
90,69018,-35.91,150.15,17,MORUYAHEADS
91,70351,-35.31,149.2,577.1,CANBERRA AIRPORT
92,72150,-35.16,147.46,212,WAGGA WAGGA
93,72161,-35.94,148.38,1482.4,CABRAMURRA
94,74258,-35.56,144.95,94,DENILIQUIN
95,76031,-34.24,142.09,50,MILDURA
96,78015,-36.31,141.65,138.9,NHILL
97,80023,-35.72,143.92,77.7,KERANG
98,82039,-36.1,146.51,175,RUTHERGLEN
99,84016,-37.57,149.92,15.2,GABOISLAND LIGHTHOUSE
100,84145,-37.69,148.47,62.7,ORBOST
101,85072,-38.12,147.13,4.6,EASTSALE
102,85096,-39.13,146.42,95,WILSONS PROMONTORY LIGHTHOUSE
103,86338,-37.83,144.98,7.5,MELBOURNE(OLYMPICPARK)
104,87031,-37.86,144.76,20.1,LAVERTON
105,90015,-38.86,143.51,82,CAPE OTWAY LIGHTHOUSE
106,91293,-41.05,146.79,3,LOWHEAD
107,91311,-41.55,147.22,166.9,LAUNCESTONAIRPORT
108,92045,-40.99,148.35,19.7,LARAPUNA(EDDYSTONEPOINT)
109,94010,-43.49,147.15,55,CAPEBRUNY LIGHTHOUSE
110,94029,-42.89,147.33,50.5,HOBART(ELLERSLIEROAD)
111,94220,-42.99,147.07,65,GROVE(RESEARCHSTATION)
112,96003,-42.28,146.28,667,BUTLERS GORGE
